HOLDING_CODE,OBJECTID..,SURVTYPE,SLR,ITEM7,ITEM11,ITEM12,ITEM40,ITEM157,ITEM170,ITEM122,ITEM145,ITEM2479,ITEM1703,ITEM1707,ITEM459,ITEM538,ITEM1825,ITEM1827,ITEM1828,ITEM1830,ITEM2495,ITEM1668,ITEM2512,ITEM2513,ITEM2514,ITEM2492,ITEM2499,ITEM1870,ITEM1871,ITEM1875,ITEM1872,ITEM1874,ITEM2500,ITEM2501,ITEM2502,ITEM1876,ITEM2503,ITEM2504,ITEM2505,TOTDAAREA,TOTNONLFAAREA,TOTSDAAREA,ITEM2482,ITEM2483,ITEM2484,ITEM2485,ITEM2486,ITEM2487,ITEM2321,ITEM2322,ITEM47,ITEM48,ITEM100,ITEM102,ITEM104,ITEM106,cattle.beef,cattle.dairy,calf.beef,calf.dairy,breeder.beef,breeder.dairy,service.bull,cattle.other,cattle.all
046/0092,1581,NA,0.048558,0,19.7,19.7,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7,0,0,0,0,0,0,0,17.25,0.84,0.7,0,0,0,0,6,0,3,5,0,0,0,7,21
046/0099,1583,SAF+FSE,0.811932,0,83.16,83.16,31.16,0,10,84,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,83.16,0,0,0,0,0,0,0,0,32.97,13.59,4.5,0,0,0,0,0,9,0,0,0,0,0,0,75,84
046/0103,1604,SAF+FSE,0.038437,0,17.67,17.67,0,0,15,0,0,0,0,0,1,0,7,0,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.67,0,0,0,0,0,0,14.85,2.77,0,0,0,0,0,0,12,0,5,4,4,0,0,5,30
046/0114,1607,SAF+FSE,0.135684,0,3.7,3.7,0,0,0,27,0,0,0,0,1,0,7,0,3,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,48,48
046/0115,1608,SAF+FSE,0.140295,0,15.48,15.48,0,0,0,20,0,0,0,0,1,0,6,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48,0,0,0,0,0,0,0,14.89,0,0,0,0,0,0,10,0,4,5,0,0,1,0,20
046/0117,1609,NA,0.317518,0,37.11,37.11,0,14,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.48,0,0,0,0,0,0,10.46,0.15,1.23,0.93,1,0,0,0,24,1,9,10,4,0,1,5,54
047/0006,1634,NA,3.581571,115.77,42.33,158.1,26.11,0,275,296,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.1,0,0,0,0,0,0,71.67,19.79,42.5,0,0,0,0,0,109,0,54,47,0,0,4,52,266
047/0018,1658,SAF+FSE,0.755095,28.96,87.41,116.37,88.11,0,0,0,0,0,0,0,1,1,7,5,6,6,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,40.4,75.97,0,0,0,0,0,0,0,14.7,11.51,1.06,0,0,0,0,0,151,0,57,72,0,0,3,0,283
047/0038,1662,SAF+FSE,0.555053,0,57.51,57.51,52.16,0,0,0,0,0,0,0,1,0,3,0,4,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.51,0,0,0,0,0,0,0,3.65,0,0,0,0,0,0,0,10,0,0,0,0,0,0,46,56
047/0043,1663,SAF+FSE,1.392111,0,88.36,88.36,14.63,0,0,173,170,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.36,0,0,0,0,0,0,19.06,8,45.5,0,0,0,0,0,87,0,24,33,81,0,2,58,285
047/0044,1664,SAF+FSE,0.157253,0,47.6,47.6,10.24,0,6,2,0,0,0,0,1,0,6,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,47.6,0,0,0,0,0,0,0,0,19.45,16.55,0,0,0,0,0,0,5,0,2,1,0,0,0,15,23
047/0045,1685,SAF+FSE,0.85245,0,131.2,131.2,54.65,0,0,26,0,0,0,0,1,0,7,0,2,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.2,0,0,0,0,0,0,41.8,31.15,0.57,0,0,0,0,0,110,0,42,60,11,0,0,0,223
047/0046,27956,Minor,0.019032,0,2.2,2.2,1.92,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,2.2,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,2,6
047/0047,1686,Main+FSE,0.058674,0,35.25,35.25,0,0,0,0,0,0,0,0,1,0,6,0,6,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,35.25,0,0,0,0,0,0,0,27.87,0,0,0,0,0,0,30,0,9,13,0,0,0,0,52
047/0063,1688,NA,2.074634,63.77,60.84,124.61,45.68,0,0,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.61,0,0,0,0,0,0,74.3,8.61,1.71,0,0,0,0,0,175,0,51,50,0,0,5,134,415
047/0064,1689,SAF+FSE,1.046326,77.9,0,77.9,33.15,0,0,133,0,0,0,0,1,0,5,0,3,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.9,0,0,0,0,0,0,0,40.19,0,3.44,0.24,0,0,0,0,13,0,0,0,0,0,0,123,136
047/0067,1691,NA,0.195579,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.8,0,0,0,0,0,0,0,0,0,22.76,1.04,0,0,0,0,0,12,0,4,4,1,0,0,2,23
047/0089,27981,Main+FSE,0.007495,0,25.6,25.6,0,0,0,0,0,1,0,0,1,0,7,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.6,0,0,0,0,0,0,0,3.56,0,21,0,0,0,0,3,0,4,0,0,0,0,1,8
047/0090,1255,SAF+FSE,1.323021,44.5,0,44.5,11.68,0,34,194,53,0,0,0,2,0,7,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.5,0,0,0,0,0,0,0,31.27,0,0,0.17,0,0,0,0,46,0,14,18,3,0,1,2,84
047/0097,1257,SAF+FSE,1.460192,7.41,38.67,46.08,16.46,0,0,216,69,0,0,0,1,0,5,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.08,0,0,0,0,0,0,26.54,1.91,0.15,0,0,0,0,0,70,0,18,36,10,0,2,49,185
047/0103,1258,SAF+FSE,1.993361,36,61.18,97.18,37.84,0,0,207,0,0,0,0,1,0,6,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.18,0,0,0,0,0,0,42.33,5.41,3.65,6.03,0,0,0,0,101,0,40,45,6,0,3,80,275
047/0104,1259,SAF+FSE,1.607411,0,65.9,65.9,15.71,0,0,230,84,0,0,0,1,0,6,0,6,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.9,0,0,0,0,0,0,40.36,4.21,0,0,0,0,0,0,73,0,37,34,6,0,3,30,183
047/0105,1260,SAF+FSE,0.123474,0,2.4,2.4,0,0,0,14,0,0,0,0,1,0,5,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,0,0,0,0,0,0,0,2.4,0,0,3,0,0,0,8,0,1,5,0,0,0,1,15
047/0108,1281,NA,0.598,0,69.18,69.18,48.89,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.34,26.46,0,0,0,0,0,0,15,0,0,3.47,0,0,0,0,17,0,9,0,2,0,1,5,34
047/0113,1282,SAF+FSE,1.688808,0,638.49,638.49,153.88,0,0,0,0,0,0,0,1,0,5,0,3,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,161.41,495.24,0,0,0,0,0,0,174.75,53.84,61.05,154.64,0,0,0,0,56,0,11,10,20,0,1,40,138
047/0117,28009,SAF+FSE,0.130458,0,11.06,11.06,0.39,2,4,14,7,0,0,0,1,0,6,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.06,0,0,0,0,0,0,3.62,9.69,0,0,0,0,0,0,19,0,0,0,0,0,0,21,40
048/0003,1285,SAF+FSE,2.595487,228.4,0,228.4,79.28,0,0,276,0,0,0,0,1,0,5,0,6,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.53,151.87,0,0,0,0,0,0,70.21,73.96,2.59,0.55,0,0,0,0,132,0,51,58,0,0,2,106,349
048/0007,1286,Main+FSE,0.169745,9.06,0,9.06,0,0,307,0,77,0,0,0,1,0,7,0,5,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.06,0,0,0,0,0,0,0,9.03,0,0,0,0,0,0,15,0,0,0,0,0,0,15,30
048/0014,1309,Main+FSE,0.216168,0,48.32,48.32,13.59,0,0,0,0,0,0,0,1,0,1,0,6,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.32,0,0,0,0,0,0,0,13.3,21.43,0,0,0,0,0,0,12,180,29,34,0,50,4,0,309
048/0017,1310,NA,5.827734,319.04,0,319.04,176.3,0,0,579,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182.86,136.18,0,0,0,0,0,0,144.34,40.83,4.26,0.18,0,0,0,0,217,0,81,85,19,0,6,216,624
048/0020,1312,NA,0.04125,52.25,0,52.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.25,0,0,0,0,0,0,0,0,52.25,0,0,0,0,0,60,0,12,11,9,0,4,46,142
048/0024,28060,Main,0.030211,1.6,0.1,1.7,0,0,0,5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1.7,0,NA,NA,NA,NA,NA,NA,0,1.6,0,0,0,0,0,0,2,0,1,1,0,0,0,0,4
048/0043,1313,SAF+FSE,5.508474,232.68,0,232.68,52,0,0,356,1519,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.62,174.06,0,0,0,0,1,0,132.78,44.47,1.5,0.15,0,0,0,0,96,0,36,44,0,0,3,84,263
048/0049,1314,SAF+FSE,2.383945,149.24,42,191.24,86.85,0,0,244,0,0,0,0,1,0,6,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,131.64,59.6,0,0,0,0,0,0,63.76,32.69,3.45,5.58,0,0,0,0,93,0,47,40,0,0,2,68,250
048/0056,28064,SAF+FSE,0.056211,0,6.07,6.07,0,0,0,11,0,0,0,0,1,0,6,0,3,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6.07,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,1,0,1,0,0,0,0,0,2
049/0004,1340,SAF+FSE,0.620708,0,45.74,45.74,6.61,0,21,16,236,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.74,0,0,0,0,0,0,36.37,2.76,0,0,0,0,0,0,9,0,7,2,0,0,0,22,40
049/0014,1342,NA,0.022526,0,10.7,10.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,10.7,0,0,0,0,0,0,0,0,0,0,11,0,0,0,11
049/0017,1363,SAF+FSE,0.789268,0,105.3,105.3,0,0,0,46,195,0,0,0,1,0,5,0,3,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105.3,0,0,0,0,0,0,0,100.45,5.59,0,0,0,0,0,0,45,0,0,0,0,0,0,80,125
049/0021,1367,SAF+FSE,0.354884,0,62.9,62.9,12.14,0,0,27,0,0,0,0,1,0,6,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,14.9,0,0,0,0,0,0,10,37.12,0,0,0,0,0,0,17,0,0,5,0,0,0,40,62
049/0025,1368,SAF+FSE,0.484332,0,50.03,50.03,12.11,0,0,60,0,0,0,0,1,0,5,0,3,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.03,0,0,0,0,0,0,0,28.97,4.72,2.18,0,0,0,0,0,3,0,1,26,40,0,0,0,70
049/0031,1391,SAF+FSE,0.75175,0,70.8,70.8,36.29,0,0,61,0,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,70.8,0,0,0,0,0,0,0,0,28.74,2.91,1.95,0,0,0,0,0,30,0,3,8,0,0,1,45,87
049/0033,1393,SAF+FSE,0.095516,0,45.37,45.37,0,0,0,0,0,0,1,1,0,1,0,5,0,2,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.36,0,0,0,0,0,0,40.95,4.42,0,0,0,0,0,0,0,0,0,0,100,0,2,0,102
049/0037,1395,NA,1.379484,0,40.5,40.5,0,0,0,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.91,0,0,0,0,0,0,9.92,13.28,7.48,0,0,0,0,0,11,1,54,54,2,2,1,36,161
049/0041,28116,Main+FSE,0.021053,0,10,10,0,0,0,0,0,0,0,0,1,0,4,0,4,0,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
049/0050,1420,SAF+FSE,0.272758,0,70,70,0,0,0,20,0,0,0,0,1,0,7,0,4,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,52.75,17.56,0,0,0,0,0,0,19,0,0,0,0,0,0,53,72
049/0057,1421,SAF+FSE,0.359013,0,16.9,16.9,0,0,13,57,7,0,0,0,1,0,6,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9,0,0,0,0,0,0,6.25,9.58,0,0,0,0,0,0,23,0,14,11,0,0,0,1,49
049/0060,1423,NA,0.950553,3.6,37,40.6,0,0,0,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.6,0,0,0,0,0,0,11.21,24.54,0.7,0.35,0,0,0,0,119,0,25,31,0,0,2,48,225
049/0066,28140,SAF+FSE,0.079287,0,43.95,43.95,0,0,0,0,0,0,0,0,1,0,6,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.95,0,0,0,0,0,0,33.35,1.45,7.63,0,0,0,0,0,0,0,0,0,0,0,0,28,28
049/0070,1447,SAF+FSE,1.556816,144.3,0,144.3,60.08,0,75,136,181,0,0,0,1,2,5,5,6,2,3,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.3,0,0,0,0,0,0,0,71.76,2.83,4.12,0.25,0,0,0,0,27,0,57,32,3,0,2,0,121
049/0078,1449,NA,8.556805,0,273.84,273.84,232.91,0,0,1292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222.54,51.3,0,0,0,0,0,0,29.65,3.47,0,1.06,0,0,0,0,11,0,0,0,0,0,0,184,195
049/0097,2347,SAF+FSE,1.683295,0,202.6,202.6,153.01,0,0,0,0,0,0,0,1,0,6,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202.6,0,0,0,0,0,0,0,62.17,3.77,0.5,0,0,0,0,0,0,0,0,0,0,0,0,94,94
049/0106,2350,SAF+FSE,2.607179,0,162.86,162.86,30.23,0,12,232,455,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,162.86,0,0,0,0,0,0,0,106.52,12.66,10.35,0,0,0,0,0,53,0,29,28,4,0,2,43,159
049/0110,2352,SAF+FSE,1.931692,0,204.6,204.6,109.49,0,0,136,0,0,0,0,2,0,6,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204.6,0,0,0,0,0,0,0,12.65,68.66,1.55,5,0,0,0,0,52,0,31,15,8,0,1,62,169
049/0135,2376,NA,1.144266,0,122.91,122.91,74.26,0,0,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.91,0,0,0,0,0,0,0,30.98,8.25,8.79,0,0,0,0,0,5,0,7,0,0,0,0,73,85
049/0147,1917,SAF+FSE,2.263137,0,164.17,164.17,68.05,0,0,287,0,0,0,0,1,0,6,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,164.17,0,0,0,0,0,0,0,77.11,12.78,0,0,0,0,0,0,3,0,82,8,11,0,0,102,206
049/0153,1919,SAF+FSE,1.367097,0,115.3,115.3,31.51,0,0,170,30,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115.3,0,0,0,0,0,0,0,81.89,2.37,0.23,0,0,0,0,0,12,0,0,0,0,0,0,178,190
049/0154,28198,SAF+FSE,0.098274,0,6.27,6.27,0,0,0,18,0,0,0,0,1,0,5,0,2,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.3,0,0,0,0,0,0,0,0.24,5.94,0,0,0,0,0,0,0,0,5,3,0,0,0,0,8
049/0155,1920,NA,1.6737,0,50.4,50.4,22.7,0,0,124,471,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.4,0,0,0,0,0,0,0,21.92,1,4.13,0,0,0,0,0,16,0,0,0,0,0,0,54,70
049/0186,1943,SAF+FSE,2.741363,0,292.81,292.81,110.87,0,10,316,0,0,0,0,1,0,7,0,6,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255.11,37.7,0,0,0,0,0,0,163.49,0,4.94,5.69,0,0,0,0,2,0,0,0,0,0,0,247,249
049/0200,1947,SAF+FSE,5.609382,0,482.45,482.45,257.72,0,0,541,0,0,0,1,1,0,7,0,2,0,2,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,460.77,21.68,0,0,0,0,0,0,145.86,37.23,20.71,16.53,0,0,0,0,0,0,63,0,0,0,0,165,228
049/0224,1973,SAF+FSE,0.153726,0,39.57,39.57,0,0,0,0,53,0,0,0,2,0,6,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,39.57,0,0,0,0,0,0,0,0,26.73,0,13.77,0,0,0,0,0,1,1,0,0,0,0,0,2
049/0227,1974,SAF+FSE,2.392832,123.32,69.82,193.14,66.03,0,0,303,0,0,0,0,1,0,5,0,6,0,3,0,0,0,1,2,1,0,0,0,0,0,0,0,0,1,1,0,0,0,193.14,0,0,0,0,0,0,0,57.98,4.82,7.04,57.21,0,0,0,0,28,0,24,13,2,0,2,19,88
049/0235,27859,Minor,0.002826,0,3.58,3.58,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,3.58,NA,NA,NA,NA,NA,NA,0,0,3.58,0,0,0,0,0,32,0,15,12,0,0,1,0,60
049/0236,27881,NA,0.053432,0,3.98,3.98,0,0,0,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3.98,0,NA,NA,NA,NA,NA,NA,3.21,0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
050/0001,1999,NA,0.959311,0,48.6,48.6,0,0,0,89,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48.6,0,0,0,0,0,0,0,0,48.71,0,0,0,0,0,0,3,0,1,2,51,0,0,4,61
050/0007,2000,SAF+FSE,0.307355,0,110.63,110.63,7.83,0,0,0,36,0,0,0,1,0,6,0,3,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,110.63,0,0,0,0,0,0,18.16,58.48,0.29,19.62,0,0,0,0,84,0,0,0,0,0,0,363,447
050/0023,2026,NA,1.178895,11.27,59.87,71.14,3.41,0,0,105,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,0,0,0,40.21,27.47,0.21,0,0,0,0,0,47,0,15,16,0,0,2,29,109
050/0024,2027,NA,4.399968,0,219.3,219.3,44.56,0,0,605,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.05,166.25,0,0,0,0,0,0,0,129.49,0.14,49.74,0,0,0,0,100,0,45,33,2,0,1,57,238
050/0028,2029,SAF+FSE,0.047747,0,2.43,2.43,0,0,0,9,0,0,0,0,1,0,7,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.43,0,0,0,0,0,1,0,2.43,0,0,0,0,0,0,0,0,0,0,10,50,0,0,8,68
050/0032,2030,NA,2.058334,0,96.27,96.27,46.84,0,0,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64.9,69.62,0,0,0,0,0,0,0,81.31,3.68,4.05,0,0,0,0,0,0,0,36,5,65,0,1,155,262
050/0039,2032,NA,4.053058,0,299.15,299.15,215.68,0,0,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.63,0,0,0,0,0,0,0,53.25,14.24,0,0,0,0,0,0,53,0,15,19,0,0,2,55,144
050/0041,2054,NA,5.460616,0,191.98,191.98,45.75,0,0,382,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.2,66.78,0,0,0,0,0,0,103.6,2.6,5.88,0,121,26,21,23,3,211,60,54,0,0,0,15,343
050/0042,2055,NA,3.206437,66.29,251.7,317.99,125.09,0,0,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.29,100.9,0,0,0,0,0,0,0,16.88,80.26,2.58,0,0,0,0,0,181,0,55,73,0,0,4,3,316
050/0046,2057,SAF+FSE,1.297663,0,50.6,50.6,17.57,0,0,222,0,0,0,0,1,0,3,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.6,0,0,0,0,0,0,0,31.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,149
050/0047,2058,SAF+FSE,0.287747,0,18.5,18.5,5.99,0,0,36,0,0,0,0,1,0,5,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5,0,0,0,0,0,0,0,12.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39
050/0075,2086,NA,2.119442,0,103,103,42.49,0,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,53.11,5,0,0,0,0,0,0,117,0,53,65,0,0,0,0,235
050/0078,2087,NA,2.737079,0,124.2,124.2,25.85,0,0,368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124.2,0,0,0,0,0,0,0,94.6,0,0.2,0,0,0,0,0,118,0,18,5,19,0,10,147,317
050/0084,2088,NA,0.010211,0,10.4,10.4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,0,0,0,0,10.4,0,0,0,0,0,5,0,0,0,0,0,0,45,50
050/0110,2114,NA,0.008421,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,3,0,2,0,1,0,0,0,6
050/0113,2115,SAF+FSE,1.371711,0,62.1,62.1,34.86,0,0,64,396,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.1,0,0,0,0,0,0,0,24.79,1.6,0,0.85,0,0,0,0,0,0,0,0,0,40,0,17,57
050/0116,2116,NA,0.06965,0,37.4,37.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.4,0,0,0,0,0,0,0,23.9,8.94,0.65,4.04,0,0,0,0,0,0,0,18,0,0,0,18,36
050/0119,1699,SAF+FSE,1.276797,7.77,32.37,40.14,6.89,0,0,133,310,0,0,0,1,0,5,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32.37,7.77,0,0,0,0,0,0,32.41,0.62,0,0,0,0,0,0,32,0,5,1,30,0,0,29,97
050/0120,1700,NA,5.667121,0,110.16,110.16,98.64,1917,0,708,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,46,0,0,0,0,0,0,608,654
050/0126,1702,SAF+FSE,3.677313,145.7,274.27,419.97,374.39,0,0,62,0,0,0,0,1,0,5,0,6,0,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,419.97,0,0,0,0,0,0,0,19.56,0.32,16.45,0,0,0,0,0,0,213,52,50,0,50,2,40,407
050/0128,1703,SAF+FSE,1.161289,0,59.3,59.3,0,0,8,24,530,1,0,0,1,0,6,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.3,0,0,0,0,0,0,0,0,57.69,0,0,0,0,0,0,3,0,1,0,0,0,1,2,7
050/0129,1704,SAF+FSE,0.522903,0,50.28,50.28,14.74,2,0,52,12,0,0,0,1,0,7,0,6,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.28,0,0,0,0,0,0,0,10.07,25.28,0.13,0,0,0,0,0,29,0,13,13,6,0,0,10,71
